username,date,content
Eldimio,một năm,"@tho2993 Do thói quen thôi. Trước tôi gõ bên Android chính xác lắm, chuyển sang dùng đồng thời iPhone thì thời gian đầu iP gõ như kẹc. Sau 1 năm dần làm quen với gõ iP thì nó kéo dexterity của mình xuống mức trung bình. Giờ gõ cả Android lẫn iP đều như kẹc 🤣"
noloveonme,một năm,"Với t thì iphone không cần sáng tạo, mới mẻ gì hết. Nó chỉ cần là cái đt phục vụ mình, ổn định và chính xác là được. Cứ sáng tạo như android mà thiếu ổn định thì chê chữ ê kéo dài. Suy cho cùng nó là cái đt phục vụ mình để mình còn làm nhiều thứ khác thôi."
Bảo-Duy,một năm,"@minoan icon android nó còn tự kéo tự sắp xếp thoe ý mình dc mà nhỉ, thích thì đổi dc theme đổi icon tá lả theo ý lun."
chuate92,một năm,"@Hieus 7438 Thì đấy, b phải ghi lý do b dùng iphone là vì b có tiền, b thích thế, chứ đừng có ghi lý do dùng iphone vì ""nghe gọi, fb, zalo ngon, app ngân hàng ngon, chụp ảnh ở mức ok là đc""."
UncleLong,một năm,"@Vũ_Optimis Cửa hàng mình dùng ip6 để làm hotline. Các app cơ bản và app bán hàng dùng ngon, mượt. Vậy xin hỏi quý anh là Android nào cùng đời IP6 mà dùng vẫn mượt như thế nhỉ ?"
Vũ_Optimis,một năm,"@UncleLong Nghe gọi app cơ bản là app gì. Note 4, note edge, Lumia 930 (nghe gọi thì đc) , Z3, Mi 4
Đầy"
centernc,một năm,"iPhone nhiều cái dở, điển hình nhất thông báo dễ bị miss, như Android app chat thông báo đc đẩy lên trên cùng"
zer0_7,một năm,"@centernc M xóa toàn bộ icon app trên màn hình để hiển thị hình nền full. Gọi app bằng spotlight. Nên miss thông báo tùm lum. Android nó còn hiện icon nhỏ trên thanh notification nên nhìn là biết có thông báo mới. Còn iOS mà ko chủ động kéo notification xuống, hoặc unlock FaceID vuốt luôn lên để dùng ko để ý thông báo trên màn hình khóa thì chả biết gì cả. Miss tùm lum."
Mr Do,một năm,"@zer0_7 Cách thông báo của iPhone thấy thua xa android, nhiều khi còn chậm hơn cả android"
zer0_7,một năm,"@Mr Do Con iPhone của m giờ vui thì nó báo, ko thì thôi. Lúc nào mở màn hình lên nó mới báo 1 rổ thông báo như Android vậy. K biết m đã làm gì sai 😔"
tiendatmagic,một năm,"@zer0_7 iphone từ lâu nó còn chưa bao giờ có ghi âm cuộc gọi, bắt chăm sóc khách hàng phải sang dùng android đây"
Eldimio,một năm,"@zer0_7 Công nhận, dùng đồng thời 2 OS rất dễ miss noti của iP. Nó chẳng có vẻ gì là có noti cả. Trên Andoird nó còn có cái icon nhỏ ở thanh status trên cùng. Mà chỉ cần vuốt xuống ở chỗ bất kỳ màn hình Home là noti kéo xuống. iP thì phải vuốt từ trên đỉnh máy, bên trái."
crazysexycool1981,một năm,"Năm nào Apple cũng giới thiệu & mở bán iPhone đều đặn & năm nào khả năng tuỳ biến về giao diện cũng như sự gò bó trong thao tác sử dụng vẫn gần như y chang, chả có bất cứ thứ gì đột biến, khả dĩ có thể gây hứng thú cho những người ưa vọc vạch. Sự nhàm chán quá đỗi về mặt thiết kế đã vô hình trung tạo nên sự ám ảnh thường trực mỗi khi cầm iPhone trên tay. Nhớ thời điểm 2 thập niên về trước, các hãng đua nhau tung ra các mẫu thiết kế độc đáo, tạo nên thương hiệu & điểm nhấn, giúp người dùng dễ dàng nhận diện cũng như khơi gợi được cảm xúc mãnh liệt. Giờ thì hết òi, còn gì nữa ngoài một màn hình to bự & đen ngòm, khéo đặt vài mẫu cạnh nhau khối người chả biết chính xác tên của từng model 🙃"
PhápDz,một năm,"@crazysexycool1981 Này là chắc chắn rồi vì chip xử lý ngày càng mạnh,chip nhớ dung lượng ngày càng cao,phần mềm ngày càng nặng, nên vài năm nữa là bộ nhớ vài TB nằm trên điện thoại giá rẻ"
Mr Do,một năm,@crazysexycool1981 tôi thấy con iphone của bác giao diện còn tùy biến hơn Android mà =)))
Eldimio,một năm,"@crazysexycool1981 Chẳng cần vọc, mỗi lần vào settings của nó là thấy nản. Bố trí một cách ngớ ngẩn. Và luôn theo 1 tôn chỉ: 1 option chỉ xuất hiện duy nhất 1 nơi nên rất khó."
Ngoknc,một năm,"Dùng cái iphone có cổng c thấy phèn lắm á ae, không có chút bản sắc riêng. Buồn"
qwerty87,một năm,"@Ngoknc Bạn mua điện thoại thông minh để sử dụng tính năng thông minh hay mua điện thoại thông minh để thành fashionista mà đòi bản với chả sắc, trong khi nó không được nâng cấp từ thời iPhone 5 và sử dụng chuẩn USB 2.0 rùa bò đến tận iPhone 14 và cả 15 (trừ bản 15 Pro/ProMax), thích bản sắc riêng thì mua Vertu đi bạn, phèn á? Một khi đã mua iPhone thì dù có cổng lightning hay không cũng đã phải chấp nhận cái việc mình phèn hơn người dùng Vertu rồi."
Dragao_ct92,một năm,"Chất lượng hoàn thiện ngày càng đi xuống (sơn titan cốt nhôm dễ bong tróc sau 1 tg ngắn, màn sọc, nứt kính...) .
Ngày càng ngáo giá.
Chất lượng camera (chụp ảnh, quay phim) ngày càng hụt hơi so với S24ultr nói riêng và Andr nói chung.
Phần mềm ngày càng tệ, k dc chăm chút, lỗi ngày càng nhiều (bàn phím, apple map...)
Thiết kế lỗi thời (viền quá dày, lỗ đen quá rộng nhét đủ thứ tào lao vào...) và ăn theo Andr (usbc, màn to...)"
hnt.n007,một năm,@Dragao_ct92 Vậy mà nghe bảo Vn sắp được dùng bản đồ tốt nhất loài người nữa chứ 🤣
tho2993,một năm,"@Dragao_ct92 Chỉ cần vậy thôi, người ta vẫn cuồng IP đấy 😅"
Hoàng Khải Nguyễn,một năm,"@Dragao_ct92 Không bàn so sánh gì mà cứ bài nào về Iphone là thấy ông Dragao này vào chê tới tấp 😆), thấy mấy bài rồi"
Hoàng Khải Nguyễn,một năm,"@Dragao_ct92 Còn ba cái ông chê tỉ lệ trên tổng máy bán ra ông còn không biết (Sơn, kính bong tróc, sọc màn,...) mà ông kết luận toàn bộ dòng sp Iphone chung chung đi xuống được, lạy thật. Dẫn chứng thì đưa link báo cũng không chính xác nốt, cũng muốn khách quan check tin mà thấy chả có cái số liệu hay bằng chứng cho thấy mức độ nghiêm trọng hay tỉ lệ lỗi cả. Toàn cứ theo cảm quan cá nhân với ba cái bài review lẹ lẹ rồi kết luận không, hài hước quá ông"
Lép1102,một năm,"@Hoàng Khải Nguyễn Rồi ok coi như ko tróc đi, còn mấy nhược kia sao ông 😅"
Dương 1H,một năm,"Cảm giác bài viết này tả về người iêu,tình iêu đầu tiên của bác.Nhưng iêu 1 cái máy trong khi nó chỉ là công cụ.Thay vì mua iphon cả chục năm qua.mih mua vàng ))"
Vũ_Optimis,một năm,"@Dương 1H Thay vì chỉ mua vàng, họ mua cả vàng lânc iphone ^^"
Dương 1H,một năm,"@Vũ_Optimis Có nghĩa là lỗ gấp đôi, vì i phôn bị tượt giá )))"
Vũ_Optimis,một năm,@Dương 1H Vì ko không care lỗ hoaqcj trượt giá.
sốt-siêu-vi-sốt-phát-ban-2024,một năm,Bữa giờ qc khen đt Android nhiều nên nay phải lên bài giữ vững lập trường quan điểm kiên định với đường lối iPhone
Hồ Quốc Trí,một năm,"@sốt-siêu-vi-sốt-phát-ban-2024 Lần đầu tiên mua iphone 13 cho vk sài và lần đầu tiên sốc văn hóa. Mình tạo apple id phải dk trên dt iphone mới dc, không có AOD, không có bong bóng chat, đổi hình nền cực vãi,... dc cái face id là ngon."
dhphucs,một năm,"Quan điểm cá nhân là ai thấy thích cái nào dùng cái đó chứ nâng cái này, đạp cái kia chi cho mệt, mình có cái IP 13pm nhưng chỉ dùng để test sạc xong bỏ hộc bàn, ko đụng đến cho đến khi cần test sạc lần sau, pin thường tuột về 0% do ko dùng thường xuyên, định đổi sang dòng 15 và cũng chỉ dùng để test sạc theo chuẩn type C chứ ko có nhu cầu dùng, chỉ là 1 cái điện thoại chứ có gì đâu mà đỉnh với không đỉnh nhỉ, có khác là nó được nhiều người dùng và được thổi phồng lên quá mức."
Tú Lơ Khơ 123,một năm,@dhphucs Dân chơi đây rồi.
denis_tien,một năm,"@dhphucs 1 tym cho b, mình sài song song 2 OS, mình chả thấy tên nào đỉnh hay ko đỉnh cả. Phù hợp thì sài thôi, hơi đâu cái này đỉnh cái kia đỉnh, cãi nhau tá lã. Giống kiểu t sài đt này nè ngon nè kéo 1 đám người dùng về sài chung cho đõ tủi thân hay gì á. kkkk. Riết chúng ta tự quảng cáo phờ ri cho hãng, để rồi hãng tăng giá cho chúng ta hưởng thụ..........."
thegate,một năm,"Trước giờ mới có người nói nút im lặng vô dụng, có lẽ với bản thân thớt thôi 😃"
dearboy2015,một năm,@jimbo89 Assistive touch =]]]]]]]]]
Eldimio,một năm,"@thegate Vô dụng hoàn toàn với mình. Vì 100% thời gian mình không để chuông. Bây giờ ai nấy điện thoại dính với người toàn thời gian rồi, số người để chuông cực hiếm. Thành ra cái nút ấy chỉ gạt duy nhất 1 lần rồi để đó."
thegate,một năm,"@Eldimio Tôi vẫn phải dùng ngày 2 lần, giờ làm việc thì tắt, ngoài giờ thì mở"
thegate,một năm,@jimbo89 Cái cục trắng trắng ấy dùng rất khó chịu 😔
alex.hn,một năm,"Vote cho bài review này của chủ tịt 5* luôn. Quan điểm rất công tâm dưới góc nhìn của người dùng rồi người sản xuất.
Về mặt sản phẩm, đúng là iphone ngày càng có các tính năng ""làm màu"". Cái triết lý ""Simply is the best"" hay ""Nhấn Home để về nhà"" đã bị nhiều tính năng rắc rối khác xóa dần. Quả airdrop mà dí 2 máy vào nhau đúng là diễn kinh điển. Đã airdrop rồi còn dí sát làm chó gì?
Cũng công nhận là về mặt quay video thì giờ iphone vẫn vô đối."
gauto988,một năm,@alex.hn Ông không dùng thì bọn tôi dùng vì thấy nó hữu ích. Thế nên đừng có phán “làm chó gì”.
alex.hn,một năm,"@gauto988 Thế sao ông lại đi ""hướng dẫn"" người khác fuck tạp hóa vấn đề khi vấn đề nó vốn dĩ đơn giản? Với lại ông ko thích thì ông mò vào reply comment của tôi làm gì? Oh, bị đần à?"
jimbo89,một năm,"@alex.hn thề, méo hiểu vụ đó luôn, đã chơi AirDrop từ thủa sơ khai, méo bao giờ để AD công khai, toàn để AD với liên hệ trong danh bạ; có bố ở trên còn nêu ví dụ ở sân bay truyền cho người thân, mía đúng hài, thân kiểu gì mà ko có trong danh bạ, thân ai nấy lo à 🤣"
gauto988,một năm,"@alex.hn Vấn đề đơn giản chỗ nào nhỉ? Cái dí 2 máy sát vào nhau để nhận airdrop nó là tính năng hay để hạn chế việc nhận AirDrop nhầm hay mất công xác nhận 2 máy để gửi-nhận airdrop, tiện vãi nhái ra. Chỉ có những ai dùng 2 máy để chung một chỗ thì nó mới hơi phức tạp một chút thì phải tắt nó đi chứ có gì đâu?"
tranthachbtx,một năm,Con người luôn chỉ thích cảm giác mới. Nên mọi thứ trên đời dù tốt đến mấy cũng sẽ nhàm chán 😃
Thành1090,một năm,Tóm lại là giờ chờ iphone 16 promax chạy ios 18 xịn xò 😝
thaikool,một năm,"bài viết đánh giá chính xác thể hiện am hiểu rõ nét và tường tận về thế giới điện thoại hiện tại. 😁
10 năm trước người ta còn chia ra các hãng Blackberry, Nokia, HTC, Sony, Palm, iPhone, Samsung...mỗi hãng có một đặc trưng riêng. Nhưng hiện tại thì chỉ còn 2 nhóm: iPhone và không phải iPhone. Với chiến thắng tuyệt đối về mặt thị phần cũng như doanh số thì sức sáng tạo của người đứng đầu ngày càng giảm đi, vì ko cần quá cải tiến họ vẫn đứng đầu sẵn rồi. :D
Nhưng cũng vì iPorn đáp ứng quá tốt nhu cầu người dùng theo bình diện chung, đặc biệt chế độ hậu mãi, bảo hành, thói quen, cách sử dụng đã được hình thành 10 năm nay quả thực rất khó để thay đổi. Người ta sẽ chọn cái gì an toàn, phổ biến nhất chứ ít khi chịu mạo hiểm bỏ cùng số tiền đó để khám phá cái mới, cái đặc biệt của các điện thoại khác ( đôi khi là màu mè, quá ít giá trị sử dụng với người dùng phổ thông ) vì có thể nó sẽ mang tới trải nghiệm tệ so với kỳ vọng của họ. Nó sẽ dẫn tới tình huống "" biết thế cứ iPorn mà phang..."", và nó lại thôi thúc họ quay lại với ma túy nhãn táo. Một vòng tròn, 😆)"
KingofWind1412,một năm,"@hackieuhoang Vẽ thì mình dùng ipad á bác, còn lại toàn word excel mình dùng máy tính."
hackieuhoang,một năm,@KingofWind1412 Bạn mở cho tôi file Autocard trên i bát cái.
tho2993,một năm,@duyvua Cũng như ăn chơi đùa đòi. Theo tuổi tác í mà. Có tuổi rồi lười đi hẳn
KingofWind1412,một năm,@hackieuhoang không chuyên môn về cái này nhưng thấy app cũng đầy để mở mà bồ
Bão Sài Gòn,một năm,"Dt với mình là công cụ kiếm tiền nên thấy dòng nào phù hợp cv là mua, ko quan tâm hdh ..nhưng cũng chỉ có Sam và Apple ..lâu lâu xài sam, xong lại chuyển qua iphone"
Dương Quang Thế,một năm,bài lên thế này thì tháng 9 này lại ở nhà xem qua màn hình a nhé
grozar,một năm,H nhờ GG Gemini cứu thôi 😆
WhiteNight999,một năm,a muốn vui vẻ thì ghé Trần Duy Hưng ủng hộ e nha a :v kakakaka
Tú Lơ Khơ 123,một năm,"@WhiteNight999 Chào bạn, mìn cũng đứng ở trần duy hưng nè."
maicasio,một năm,Giờ này ai còn xài iPhone nữa.
tiendatmagic,một năm,@dra.long10 thua lần này mang nhục 😆)
dra.long10,một năm,@tiendatmagic đâu nhục = thèn suốt ngày bị sút keke
tiendatmagic,một năm,@dra.long10 xàm
dra.long10,một năm,@tiendatmagic ngoo
Raziel,một năm,"Em vẫn 2 tay 2 súng nhưng giờ toàn dùng S24U cho công việc thường ngày, 15PM hầu như chỉ còn dùng cho các app liên quan đến tài chính và ... nhận file Airdrop của người quen gửi.
Với em, Android (hoặc có thể là SS) nó cung cấp nhiều công cụ và linh hoạt hơn để giúp làm việc tốt hơn. Tới con S24U nó lại nhét cho 1 đống AI hay ho nên lại càng tiện ác."
Thiên biến vạn hoá,một năm,Ước gì tôi có điện thoại haha
hunghoangphi,một năm,vẫn đi đầu về tiện ích và quyền riêng tư mặc dù sáng tạo bắt đầu không còn trên bao diêm này nữa
khuonguyen,một năm,"bị mất con 15pm thì hôm qua đi mua 15pm nữa.
Nhưng cũng tự dưng cũng thấy chán chán chẳng có gì mới mẻ cầm thử con SS thấy đẹp đẽ, hay ho mà nghĩ lại phải đổi aw rồi thói quen sử dụng tùm lum
Lại làm biếng rồi cũng mua lại IP nhưng cảm giác chán chán vẫn còn đó."
BA SU BO,một năm,Bự quá nên chuyển về Pro sài sướng hơn 😃
MicahNguyen,một năm,"Mình dùng iphone vì các lý do chính:
- UX đơn giản, dễ dùng
- Máy build đẹp
- Hệ sinh thái ngon

Nhưng càng ngày UX càng tệ, quá nhiều tính năng mà chả biết để làm gì. Ngay cả việc chụp hình càng ngày càng thấy phức tạp hơn, cảm giác như ảnh chụp từ con 15pm còn thua con 13p"
tho2993,một năm,@MicahNguyen Khen hệ sinh thái ios đúng là dân nửa mùa. Bệnh sĩ
khanhduy.39n,một năm,"@tho2993 ghét thế loại đánh giá người khác kiểu này vl, không chắc là ông hơn người ta đâu mà nói nửa mùa"
MicahNguyen,một năm,@tho2993 @tho2993 vậy cái nào mới là nguyên mùa?
hjepsi_culan,một năm,Iphone 15 pro max không còn là chiếc điện thoại vui vẻ nhất của loài người nữa sao..
ryanmw,một năm,hãy vui lên vì vẫn chưa bị Apple làm chậm bằng cập nhật ios như iphone 14 trở xuống
notlove2402,một năm,Đúng là hết vui thật a ạ. Cầm và xài thôi...
reaper911,một năm,Bài viết hay quá chủ tịch 😁
linhmanh963,một năm,Hoàn hảo đến nhàm chán
nguyenbaotu,một năm,khi nào điện thoại nhấn phát xuất hiện em jav thì lúc đó mới vui vẻ
lamdainhan10,một năm,"""Cổng USB-C tiện lợi"" cái này lại mõm rồi admin. Việc chuyển từ lightning sang type C tinhte chắc không dưới 20 bài, trong đó mài chửi nhiều nhất mà"
chetdichoroi,một năm,"@lamdainhan10 Đúng ùi, mình nhớ như in cái vụ này"
Tú Lơ Khơ 123,một năm,Thua con sony xperia 5 mark 2 mới mua 3990k của mình.
Eldimio,một năm,@Tú Lơ Khơ 123 Nó có dài bằng iP Promax hay Galaxy plus/ultra đâu. Nó hẹp hơn thôi.
Tú Lơ Khơ 123,một năm,"@chetdichoroi Vâng bác , hẹp hơn nên cảm giác dài hơn."
Tú Lơ Khơ 123,một năm,"@Eldimio Phế vật thật bác ạ, không hiểu sao bán giá hơn 20 củ khi mới ra. H mua làm máy phụ trải nghiệm vậy thôi."
Eldimio,một năm,"@Tú Lơ Khơ 123 Các máy khác đều được hỗ trợ 2 năm OS, 1 năm patches, riêng con 5II chỉ được đúng 2 năm cho cả OS lẫn patches. Ngoài ra 5G của nó không chạy được trên băng tần của Viettel. Thấy bảo màn hình hay bị bệnh lên sọc chỉ sau 1 năm, nhưng may mà con của mình dùng 3 năm rồi chưa dính lỗi nào. Khi để màn hình ở độ sáng thấp, di chuyển bị lem giữa phần sáng và tối."
nqdong,một năm,"iphone nó vẫn tốt, vẫn đầy tính ""tin tưởng"" khi sử dụng hàng ngày, nhưng chán... rất chán và không tạo được ""cảm xúc"" nhiều khi sử dụng.
Apple quá ""nhát"" và ""an toàn"" trong thiết kế và tạo sự khác biệt quá ít qua từng đời.

Mình vừa chuyển qua Samsung sau 10 năm xài iphone, tổng thể sử dụng hàng ngày không ""toàn vẹn"" như iphone NHƯNG lại tạo cảm hứng cho mình mỗi khi cầm cái điện thoại lên - cái mà iphone đã không còn."
Hien Pham_1190,một năm,"Cái HDR trên iphone nó cũng đâu có tốt gì với cá nhân mình đâu nhỉ, quay phim chụp hình nó bị rực lên, màu trắng, áo trắng bị đẩy lên quá cỡ, còn mà đang lướt tiktok, fb mà gặp clip hdr thì chói cả mắt, mà cũng chả thấy đẹp hơn cái gì, muốn coi tiếp phải hạ độ sáng xuống, sang clip khác thì lại phải kéo sáng lên."
tho2993,một năm,@Hien Pham_1190 Clip HDR thì sam sung cũng sáng chói bạn ạ
Thiencl,một năm,"Không phải nói nhiều doanh số nói lên tất cả
iPhone là thước đo chung của các hãng smartphone khi đem sản phẩm của mình ra so sánh"
ductrong2468,một năm,nhưng vẫn mua 😁 .
Trần Tùngg,một năm,"Cái airdrop công nhận khó dùng, từ iphone chuyển sang ipad mà nó không thèm nhận luôn, chung apple id, phải reset ipad mới nhận được. Tính năng dùng iphone làm camera cũng quá lởm khi không nhận được qua cáp luôn."
Dương Quang Thế,một năm,"@Trần Tùngg cái này là do phần mềm. cảm giác ios càng cao thì độ ổn định lại giảm đi đôi chút, màu mè hơn và làm màu là chinh."
Trần Tùngg,một năm,"@Dương Quang Thế Dùng cái airdrop mà cảm tưởng như hồi dò bluetooth trên máy nokia vậy, kinh khủng."
Dương Quang Thế,một năm,@Trần Tùngg cảm giác con Xr chạy ios 16 nó mượt với ổn định hơn 12pro chạy ios 17
Mr Do,một năm,Lâu lâu mới thấy chủ toạ viết dc bài chất lượng
Dương Quang Thế,một năm,@Mr Do chủ toạ năm rồi không được đi sự kiện nên quyết tâm dành 6 tháng ăn nằm ngắm nghía.... Kỳ này quyết khô máu luôn =))) ....
khoa471989,một năm,"vẫn dùng làm máy phụ. máy chính là oppo find N, dù chán nhưng ko bỏ được thế mới khổ"
Akay Nhím,một năm,Dù biết rằng ip chả có gì hay ho kho so với androi nhưng 13 năm nay vẫn chỉ mua ip dùng. Cứ nua Điện Thoại mới là ưu tiên ip trước
Dương Quang Thế,một năm,@Akay Nhím khi bản thân hoặc người nhà là nạn nhân của các cuộc gọi lừa đảo thì mới thấy giá trị của ios nó tốt hơn 1 bậc. Mình ở xa vẫn quản lý và giảm bớt được rủi ro. Vậy nên em luôn ưu tiên khuyên người thân và bạn bè ưu tiên ios trước.
chocolate89vnw,một năm,"""giá trị của sự khác biệt thì việc đổi qua USB-C có thể xem là một bước giảm giá trị của Apple. Đưa Apple bằng phân khúc, dùng chung với các điện thoại khác""

Giảm giá trị, bằng phân khúc?"
Cậu 3 đào hoa,một năm,"Chủ tịch à cái kiểu camera mà nịnh mắt, màu sắc rực rỡ như vậy của Xiaomi thật ra Samsung đã làm từ tám hoánh rồi mà. Nhiều người người ta thích hình trung tính của iPhone hơn, nên thường người ta hay thích iPhone chụp hơn là vậy á."
nguyentinh1977,một năm,"Chờ một điều gì đó mang tính đột phá từ Apple, cũng giống như cách mạng Iphone đời đầu"
x.dung,một năm,Chào mừng anh đã quay lại thế giới trải nghiệm công nghệ trung lập.
thanh_satria,một năm,"Thời của cuộc sống công nghiệp vội vã, chuông reo là bắn, bảo mật thông tin….. thì iPhone vẫn là sự lựa chọn hoàn hảo nhất. Mặc dù nó ko còn gì mới mẻ nữa"
Công Thành 1115,một năm,chán rồi chứ gì 😆))
Mr chanh 86,một năm,"giờ cái nào cũng na ná nhau nên chán, cũng nhiêu app sử dụng hàng ngày, mấy cái hoa hòe vọc 1 vài lần rồi thôi, tất cả tính năng điều gom vào cái màn hình to mỏng, nên k còn háo hức như thời cách đây 10 năm những HTC, sony, LG đều có thế mạnh riêng để quảng cáo..."
sonle91,một năm,"Theo xu hướng thì điện thoại giờ so với thu nhập giá cũng không còn cao như trước nữa. Trước đây cầm con iphone đời mới trên tay vẫn là một cái gì đấy khác biệt. Nhưng hiện tại thì chả mấy ai để ý xem người này người kia đang dùng điện thoại gì, có xịn hay không nữa."
kenvill_ha,một năm,1 bài viết thẩm du của chú cừu không lông :v
chetdichoroi,một năm,"Vụ cái cổng C tui thấy lấn cấn, lúc đầu bác ấy chê cái C này dữ lắm chứ có nói sáng tạo đâu."
minhtuan7610,một năm,"Nhạt nhẽo và bình ổn. Giá cao đủ khiến số đông thèm muốn, vậy là sống khoẻ rồi"
Ralph,một năm,Con điện thoại xịn là con điện thoại cài app ngân hàng có chục tị trong đó =))
mrkissn,một năm,đã quá sức nhàm chán iPhone và bỏ dùng iPhone dù mình là fan của apple
kungvn,một năm,"nhớ hồi 2008 2009 ngồi xem đọc nuốt từng chữ khi iphone ra mắt vì nó khác biệt nhiều, giờ thì mình dùng iphone xs max từ cuối 2018 đến tận cuối 2023 khi cho cái xsmax đi mới đổi mua cái 15 plus xài 😁 vẫn thế vẫn đủ dùng trong hệ sinh thái có chăng là pin trâu hơn :D"
damtuan91091,một năm,"15promax năm nay thấy được mỗi khoản Type C là tiện. Chiến được biết bao nhiêu đồ chơi, mà giá cả lại phải chăng hơn ""mớ"" lightning."
kimpossible,một năm,Thế con gì bjo là vui vẻ nhất nhỉ
hunggh,một năm,Giờ ko thấy con flagship nào quảng cáo là iphone killer nữa nhề
tieu.ngao,một năm,"review qúa chuẩn. iphone mới ko còn đột phá hoặc khác biệt nữa, nó vẫn đủ tốt cho người dùng trung thành với iOS, có điều các hiệu ứng thêm vào như hình nền này nọ quả thật quá màu mè phức tạp và nhiều khi gây phiền phức hơn là thú vị, app camera thì quá lởm vụ lấy nét trên ip15"
notlove2402,một năm,@tieu.ngao Không hiểu sao app camera của ip lại đi xuống 2 thế hệ gần nhất...lởm khởm
khanhduy.39n,một năm,"đã quá lâu không có gì đột phá, 11 12 13 14 vẫn xài tốt nhưi thường"
Tweener Lob,một năm,Thành trì cuối cùng của Apple để giữ chân khách hàng là iOS hỗ trợ lâu dài đi kèm hệ sinh thái cho các iDevices khác chứ kiểu dáng iPhone đã quá bão hoà rồi ko có gì đột phá thêm nữa.
boanh86,một năm,"Apple lẻ ra tạo thêm iphone siêu camera, Hay đại lại j đó"
Mr Seen,một năm,gồi sẽ đến 1 ngày bão hòa xong gồi sẽ có 1 cty nào đó làm lại cú hít năm 207
hackieuhoang,một năm,Mở hộ tôi mấy cái file này trên i pỏn cái.
